timestamp,package_number,gesture_name,gesture_number,s1,s2,s3,s4,s5,s6,s7,s8
1449106887549,0,3,7,-58,-43,-8,-21,-8,-3,-12,-13
1449106887551,3,3,7,19,29,33,-6,-8,-2,3,6
1449106887551,3,3,7,-21,-30,-20,4,13,5,1,-5
1449106887597,0,3,7,-4,-14,28,22,16,5,-7,-9
1449106887597,1,3,7,-1,1,18,1,2,0,4,4
1449106887597,1,3,7,31,11,-18,-7,-1,8,12,12
1449106887597,0,3,7,3,3,-49,3,4,7,12,7
1449106887598,3,3,7,32,24,12,23,12,8,17,13
1449106887598,3,3,7,-18,-4,18,-4,-5,2,-1,-11
1449106887599,0,3,7,4,19,44,1,-1,0,5,-5
1449106887599,0,3,7,-10,0,-7,-8,-3,1,-5,4
1449106887646,1,3,7,22,28,-6,-6,-5,6,8,28
1449106887646,2,3,7,-2,-16,-2,-10,-4,-3,-6,-8
1449106887646,1,3,7,27,-7,-23,-22,-14,-9,-9,-13
1449106887646,2,3,7,-35,-35,-7,4,5,4,12,-6
1449106887647,0,3,7,-5,1,35,17,-2,2,7,9
1449106887647,0,3,7,-2,-5,-36,-3,-4,-3,11,7
1449106887648,1,3,7,-19,-13,19,-4,3,-6,-23,-13
1449106887648,1,3,7,25,7,-60,-41,-15,-8,-2,-2
1449106887694,2,3,7,-29,-38,-20,12,18,9,8,-9
1449106887694,2,3,7,-13,-16,6,-2,-10,-2,-10,-5
1449106887695,3,3,7,10,3,-30,8,6,0,0,7
1449106887695,3,3,7,2,8,-9,-5,-7,-6,-6,0
1449106887696,1,3,7,14,13,34,10,6,15,27,25
1449106887696,1,3,7,-18,-15,-17,-12,0,8,13,-2
1449106887697,2,3,7,-22,-44,-23,-9,-8,-10,-7,-12
1449106887697,2,3,7,46,41,-27,2,-4,-6,-6,16
1449106887743,3,3,7,-78,-37,-16,-12,-6,-5,-15,-44
1449106887743,3,3,7,31,22,21,0,2,6,16,26
1449106887744,2,3,7,14,-4,-22,22,20,10,6,3
1449106887744,0,3,7,-17,-2,-23,-7,9,1,-3,-2
1449106887744,0,3,7,13,10,11,17,0,5,6,8
1449106887744,2,3,7,5,20,32,0,0,-10,-7,-3
1449106887746,3,3,7,-17,-9,31,1,-6,0,7,4
1449106887746,3,3,7,11,0,8,-40,-11,-10,-20,-1
1449106887792,0,3,7,-13,-14,-8,-21,-11,-1,0,2
1449106887792,0,3,7,1,9,5,60,15,8,5,-3
1449106887793,1,3,7,49,32,-6,11,8,1,-2,6
1449106887793,3,3,7,-28,-25,-7,3,4,5,9,-4
1449106887793,3,3,7,52,47,6,-1,-6,-4,10,26
1449106887793,1,3,7,-66,-53,17,0,-3,-10,-14,-21
1449106887794,0,3,7,7,-1,-6,-5,-3,5,11,14
1449106887794,0,3,7,-10,-27,-14,-1,-6,-11,-18,-11
1449106887841,1,3,7,-2,22,21,-10,-3,-1,1,2
1449106887841,1,3,7,-3,9,30,34,14,8,5,2
1449106887842,2,3,7,-16,-39,-72,-24,-7,-2,-2,-6
1449106887842,0,3,7,7,-16,-6,26,3,-2,-4,-3
1449106887842,2,3,7,10,47,81,7,-13,-5,0,-9
1449106887842,0,3,7,10,2,-7,-19,-7,-3,-3,4
1449106887843,1,3,7,-12,-20,-57,-12,-9,-9,-15,-10
1449106887843,1,3,7,-38,-5,30,23,6,3,3,-10
1449106887889,2,3,7,62,42,-22,-20,-7,-2,6,8
1449106887889,2,3,7,31,29,30,-22,-12,-3,10,8
1449106887890,3,3,7,-12,-38,-47,-10,1,-4,-41,-23
1449106887890,3,3,7,-111,-81,7,2,-5,-8,3,-14
1449106887891,0,3,7,6,18,19,1,5,-1,-12,6
1449106887891,0,3,7,22,22,4,9,-2,-2,0,7
1449106887892,1,3,7,12,9,24,17,2,3,9,-1
1449106887892,1,3,7,42,17,-51,-11,-1,3,7,11
1449106887938,2,3,7,12,4,26,-3,-4,0,2,-1
1449106887938,2,3,7,-63,-54,-2,-10,-6,-7,-20,-18
1449106887939,3,3,7,25,40,17,-4,-1,-1,-4,2
1449106887939,3,3,7,-49,-39,-6,9,-10,-8,-2,-11
1449106887939,1,3,7,26,10,-8,-12,-13,-6,-2,-1
1449106887939,1,3,7,14,2,3,-4,6,-2,-1,5
1449106887941,2,3,7,-19,-5,11,36,6,-2,-6,-6
